,fechas,pred
102,2011-03-27 11:30:00,-0.5607
238,2011-03-27 22:50:00,-0.168
403,2011-03-28 12:35:00,-0.5489
539,2011-03-28 23:55:00,-0.1329
704,2011-03-29 13:40:00,-0.5416
841,2011-03-30 01:05:00,-0.1245
1004,2011-03-30 14:40:00,-0.5321
1142,2011-03-31 02:10:00,-0.1437
1303,2011-03-31 15:35:00,-0.5122
1441,2011-04-01 03:05:00,-0.1834
1600,2011-04-01 16:20:00,-0.4769
1740,2011-04-02 04:00:00,-0.2343
1896,2011-04-02 17:00:00,-0.4256
2038,2011-04-03 04:50:00,-0.2877
2191,2011-04-03 17:35:00,-0.3629
2335,2011-04-04 05:35:00,-0.3376
2485,2011-04-04 18:05:00,-0.2969
2631,2011-04-05 06:15:00,-0.3801
2778,2011-04-05 18:30:00,-0.2378
2927,2011-04-06 06:55:00,-0.4127
3068,2011-04-06 18:40:00,-0.1967
3224,2011-04-07 07:40:00,-0.4346
3356,2011-04-07 18:40:00,-0.1827
3521,2011-04-08 08:25:00,-0.4459
3645,2011-04-08 18:45:00,-0.1946
3819,2011-04-09 09:15:00,-0.4487
3937,2011-04-09 19:05:00,-0.2135
4117,2011-04-10 10:05:00,-0.4466
4232,2011-04-10 19:40:00,-0.2236
4417,2011-04-11 11:05:00,-0.4449
4530,2011-04-11 20:30:00,-0.2199
4717,2011-04-12 12:05:00,-0.4478
4832,2011-04-12 21:40:00,-0.2076
5016,2011-04-13 13:00:00,-0.456
5141,2011-04-13 23:25:00,-0.2089
5315,2011-04-14 13:55:00,-0.4671
5450,2011-04-15 01:10:00,-0.252
5613,2011-04-15 14:45:00,-0.4762
5753,2011-04-16 02:25:00,-0.3275
5911,2011-04-16 15:35:00,-0.4788
6055,2011-04-17 03:35:00,-0.416
6207,2011-04-17 16:15:00,-0.4714
6354,2011-04-18 04:30:00,-0.5022
6504,2011-04-18 17:00:00,-0.4523
6654,2011-04-19 05:30:00,-0.5754
6800,2011-04-19 17:40:00,-0.4205
6953,2011-04-20 06:25:00,-0.6283
7097,2011-04-20 18:25:00,-0.3775
7252,2011-04-21 07:20:00,-0.6579
7393,2011-04-21 19:05:00,-0.3255
7551,2011-04-22 08:15:00,-0.6648
7689,2011-04-22 19:45:00,-0.268
7851,2011-04-23 09:15:00,-0.6529
7986,2011-04-23 20:30:00,-0.2098
8151,2011-04-24 10:15:00,-0.6282
8284,2011-04-24 21:20:00,-0.1562
8451,2011-04-25 11:15:00,-0.5968
8584,2011-04-25 22:20:00,-0.1145
8751,2011-04-26 12:15:00,-0.5623
8886,2011-04-26 23:30:00,-0.0943
9051,2011-04-27 13:15:00,-0.5249
9189,2011-04-28 00:45:00,-0.1031
9349,2011-04-28 14:05:00,-0.4819
9490,2011-04-29 01:50:00,-0.1393
9647,2011-04-29 14:55:00,-0.4311
9790,2011-04-30 02:50:00,-0.1942
9943,2011-04-30 15:35:00,-0.3723
10089,2011-05-01 03:45:00,-0.258
10239,2011-05-01 16:15:00,-0.3098
10386,2011-05-02 04:30:00,-0.3222
10533,2011-05-02 16:45:00,-0.2505
10683,2011-05-03 05:15:00,-0.3811
10825,2011-05-03 17:05:00,-0.2035
10980,2011-05-04 06:00:00,-0.4311
11115,2011-05-04 17:15:00,-0.1778
11277,2011-05-05 06:45:00,-0.4699
11403,2011-05-05 17:15:00,-0.1793
11573,2011-05-06 07:25:00,-0.4967
11693,2011-05-06 17:25:00,-0.201
11870,2011-05-07 08:10:00,-0.512
11987,2011-05-07 17:55:00,-0.2247
12168,2011-05-08 09:00:00,-0.5171
12283,2011-05-08 18:35:00,-0.2382
12465,2011-05-09 09:45:00,-0.5145
12581,2011-05-09 19:25:00,-0.2376
12764,2011-05-10 10:40:00,-0.5072
12883,2011-05-10 20:35:00,-0.2266
13062,2011-05-11 11:30:00,-0.4977
13188,2011-05-11 22:00:00,-0.2196
13361,2011-05-12 12:25:00,-0.4876
13497,2011-05-12 23:45:00,-0.2413
13659,2011-05-13 13:15:00,-0.4766
13802,2011-05-14 01:10:00,-0.2989
13957,2011-05-14 14:05:00,-0.4632
14104,2011-05-15 02:20:00,-0.3798
14255,2011-05-15 14:55:00,-0.4456
14405,2011-05-16 03:25:00,-0.4689
14552,2011-05-16 15:40:00,-0.4221
14705,2011-05-17 04:25:00,-0.5531
14849,2011-05-17 16:25:00,-0.3917
15005,2011-05-18 05:25:00,-0.6229
15145,2011-05-18 17:05:00,-0.3545
15304,2011-05-19 06:20:00,-0.6722
15442,2011-05-19 17:50:00,-0.3118
15603,2011-05-20 07:15:00,-0.698
15739,2011-05-20 18:35:00,-0.2651
15902,2011-05-21 08:10:00,-0.7004
16036,2011-05-21 19:20:00,-0.2173
16201,2011-05-22 09:05:00,-0.6816
16333,2011-05-22 20:05:00,-0.1718
16500,2011-05-23 10:00:00,-0.6455
16631,2011-05-23 20:55:00,-0.1325
16799,2011-05-24 10:55:00,-0.5961
16932,2011-05-24 22:00:00,-0.1052
17097,2011-05-25 11:45:00,-0.5373
17233,2011-05-25 23:05:00,-0.0971
17396,2011-05-26 12:40:00,-0.472
17536,2011-05-27 00:20:00,-0.1137
17693,2011-05-27 13:25:00,-0.4029
17837,2011-05-28 01:25:00,-0.1539
17990,2011-05-28 14:10:00,-0.3333
18137,2011-05-29 02:25:00,-0.2113
18285,2011-05-29 14:45:00,-0.2682
18436,2011-05-30 03:20:00,-0.2773
18579,2011-05-30 15:15:00,-0.2139
18735,2011-05-31 04:15:00,-0.3445
18871,2011-05-31 15:35:00,-0.178
19032,2011-06-01 05:00:00,-0.4071
19161,2011-06-01 15:45:00,-0.1671
19329,2011-06-02 05:45:00,-0.4611
19449,2011-06-02 15:45:00,-0.1819
19626,2011-06-03 06:30:00,-0.5043
19742,2011-06-03 16:10:00,-0.2108
19922,2011-06-04 07:10:00,-0.5353
20037,2011-06-04 16:45:00,-0.2388
20219,2011-06-05 07:55:00,-0.5537
20335,2011-06-05 17:35:00,-0.2586
20516,2011-06-06 08:40:00,-0.5599
20634,2011-06-06 18:30:00,-0.2674
20813,2011-06-07 09:25:00,-0.555
20935,2011-06-07 19:35:00,-0.2671
21110,2011-06-08 10:10:00,-0.5408
21238,2011-06-08 20:50:00,-0.2645
21408,2011-06-09 11:00:00,-0.5191
21543,2011-06-09 22:15:00,-0.2724
21705,2011-06-10 11:45:00,-0.4924
21848,2011-06-10 23:40:00,-0.3024
22003,2011-06-11 12:35:00,-0.4625
22152,2011-06-12 01:00:00,-0.3566
22301,2011-06-12 13:25:00,-0.431
22454,2011-06-13 02:10:00,-0.4285
22599,2011-06-13 14:15:00,-0.3988
22755,2011-06-14 03:15:00,-0.5076
22897,2011-06-14 15:05:00,-0.3661
23056,2011-06-15 04:20:00,-0.5829
23194,2011-06-15 15:50:00,-0.3332
23355,2011-06-16 05:15:00,-0.6452
23492,2011-06-16 16:40:00,-0.3003
23654,2011-06-17 06:10:00,-0.6876
23789,2011-06-17 17:25:00,-0.2676
23953,2011-06-18 07:05:00,-0.706
24086,2011-06-18 18:10:00,-0.2356
24251,2011-06-19 07:55:00,-0.6988
24384,2011-06-19 19:00:00,-0.2054
24549,2011-06-20 08:45:00,-0.6674
24681,2011-06-20 19:45:00,-0.1782
24847,2011-06-21 09:35:00,-0.6149
24980,2011-06-21 20:40:00,-0.1559
25145,2011-06-22 10:25:00,-0.5462
25279,2011-06-22 21:35:00,-0.1415
25442,2011-06-23 11:10:00,-0.467
25580,2011-06-23 22:40:00,-0.139
25739,2011-06-24 11:55:00,-0.3842
25881,2011-06-24 23:45:00,-0.1528
26035,2011-06-25 12:35:00,-0.3048
26183,2011-06-26 00:55:00,-0.1853
26329,2011-06-26 13:05:00,-0.2361
26484,2011-06-27 02:00:00,-0.2343
26623,2011-06-27 13:35:00,-0.1855
26783,2011-06-28 02:55:00,-0.2941
26914,2011-06-28 13:50:00,-0.1595
27082,2011-06-29 03:50:00,-0.3579
27202,2011-06-29 13:50:00,-0.1618
27380,2011-06-30 04:40:00,-0.4194
27493,2011-06-30 14:05:00,-0.1854
27677,2011-07-01 05:25:00,-0.4737
27790,2011-07-01 14:50:00,-0.2161
27974,2011-07-02 06:10:00,-0.5176
28089,2011-07-02 15:45:00,-0.2478
28270,2011-07-03 06:50:00,-0.549
28389,2011-07-03 16:45:00,-0.2775
28566,2011-07-04 07:30:00,-0.5665
28689,2011-07-04 17:45:00,-0.3026
28862,2011-07-05 08:10:00,-0.5698
28989,2011-07-05 18:45:00,-0.3212
29159,2011-07-06 08:55:00,-0.5594
29291,2011-07-06 19:55:00,-0.3337
29455,2011-07-07 09:35:00,-0.5364
29592,2011-07-07 21:00:00,-0.3428
29752,2011-07-08 10:20:00,-0.5032
29895,2011-07-08 22:15:00,-0.3551
30050,2011-07-09 11:10:00,-0.4629
30198,2011-07-09 23:30:00,-0.378
30347,2011-07-10 11:55:00,-0.4192
30501,2011-07-11 00:45:00,-0.417
30645,2011-07-11 12:45:00,-0.3761
30804,2011-07-12 02:00:00,-0.4714
30944,2011-07-12 13:40:00,-0.3373
31105,2011-07-13 03:05:00,-0.5345
31243,2011-07-13 14:35:00,-0.3051
31405,2011-07-14 04:05:00,-0.5957
31541,2011-07-14 15:25:00,-0.2805
31705,2011-07-15 05:05:00,-0.6449
31840,2011-07-15 16:20:00,-0.2627
32004,2011-07-16 06:00:00,-0.6733
32138,2011-07-16 17:10:00,-0.2501
32302,2011-07-17 06:50:00,-0.6762
32435,2011-07-17 17:55:00,-0.2408
32599,2011-07-18 07:35:00,-0.6517
32733,2011-07-18 18:45:00,-0.233
32897,2011-07-19 08:25:00,-0.6022
33031,2011-07-19 19:35:00,-0.2256
33193,2011-07-20 09:05:00,-0.5321
33329,2011-07-20 20:25:00,-0.2183
33489,2011-07-21 09:45:00,-0.4488
33627,2011-07-21 21:15:00,-0.2122
33785,2011-07-22 10:25:00,-0.3612
33926,2011-07-22 22:10:00,-0.2096
34079,2011-07-23 10:55:00,-0.2785
34227,2011-07-23 23:15:00,-0.2149
34373,2011-07-24 11:25:00,-0.2107
34528,2011-07-25 00:20:00,-0.2334
34663,2011-07-25 11:35:00,-0.1666
34829,2011-07-26 01:25:00,-0.2676
34946,2011-07-26 11:10:00,-0.1559
35130,2011-07-27 02:30:00,-0.3153
35236,2011-07-27 11:20:00,-0.1704
35429,2011-07-28 03:25:00,-0.3701
35534,2011-07-28 12:10:00,-0.1887
35727,2011-07-29 04:15:00,-0.4248
35836,2011-07-29 13:20:00,-0.2107
36024,2011-07-30 05:00:00,-0.4736
36141,2011-07-30 14:45:00,-0.2432
36320,2011-07-31 05:40:00,-0.5124
36443,2011-07-31 15:55:00,-0.2857
36616,2011-08-01 06:20:00,-0.5385
36744,2011-08-01 17:00:00,-0.3317
36912,2011-08-02 07:00:00,-0.5501
37044,2011-08-02 18:00:00,-0.3745
37208,2011-08-03 07:40:00,-0.5464
37344,2011-08-03 19:00:00,-0.4084
37504,2011-08-04 08:20:00,-0.5277
37644,2011-08-04 20:00:00,-0.4307
37800,2011-08-05 09:00:00,-0.4953
37944,2011-08-05 21:00:00,-0.4422
38097,2011-08-06 09:45:00,-0.4523
38246,2011-08-06 22:10:00,-0.4482
38394,2011-08-07 10:30:00,-0.4022
38548,2011-08-07 23:20:00,-0.4569
38692,2011-08-08 11:20:00,-0.3505
38851,2011-08-09 00:35:00,-0.4766
38991,2011-08-09 12:15:00,-0.3032
39153,2011-08-10 01:45:00,-0.5105
39290,2011-08-10 13:10:00,-0.2667
39454,2011-08-11 02:50:00,-0.5531
39590,2011-08-11 14:10:00,-0.2453
39755,2011-08-12 03:55:00,-0.5936
39890,2011-08-12 15:10:00,-0.2397
40054,2011-08-13 04:50:00,-0.6207
40189,2011-08-13 16:05:00,-0.2463
40352,2011-08-14 05:40:00,-0.6259
40488,2011-08-14 17:00:00,-0.2599
40649,2011-08-15 06:25:00,-0.6051
40785,2011-08-15 17:45:00,-0.2754
40946,2011-08-16 07:10:00,-0.559
41083,2011-08-16 18:35:00,-0.2889
41242,2011-08-17 07:50:00,-0.4917
41380,2011-08-17 19:20:00,-0.2977
41537,2011-08-18 08:25:00,-0.4108
41677,2011-08-18 20:05:00,-0.3008
41832,2011-08-19 09:00:00,-0.3261
41975,2011-08-19 20:55:00,-0.2989
42125,2011-08-20 09:25:00,-0.2484
42273,2011-08-20 21:45:00,-0.2943
42416,2011-08-21 09:40:00,-0.1892
42573,2011-08-21 22:45:00,-0.2912
42701,2011-08-22 09:25:00,-0.1614
42873,2011-08-22 23:45:00,-0.2961
42986,2011-08-23 09:10:00,-0.1684
43175,2011-08-24 00:55:00,-0.3145
43280,2011-08-24 09:40:00,-0.1832
43475,2011-08-25 01:55:00,-0.3464
43578,2011-08-25 10:30:00,-0.1918
43774,2011-08-26 02:50:00,-0.3868
43882,2011-08-26 11:50:00,-0.1983
44072,2011-08-27 03:40:00,-0.4285
44191,2011-08-27 13:35:00,-0.2231
44369,2011-08-28 04:25:00,-0.4655
44496,2011-08-28 15:00:00,-0.2758
44665,2011-08-29 05:05:00,-0.4933
44798,2011-08-29 16:10:00,-0.342
44961,2011-08-30 05:45:00,-0.5091
45098,2011-08-30 17:10:00,-0.4089
45257,2011-08-31 06:25:00,-0.5108
45397,2011-08-31 18:05:00,-0.4667
45553,2011-09-01 07:05:00,-0.4976
45696,2011-09-01 19:00:00,-0.5091
45849,2011-09-02 07:45:00,-0.4698
45996,2011-09-02 20:00:00,-0.5333
46145,2011-09-03 08:25:00,-0.4293
46296,2011-09-03 21:00:00,-0.5405
46442,2011-09-04 09:10:00,-0.3791
46596,2011-09-04 22:00:00,-0.5368
46739,2011-09-05 09:55:00,-0.3241
46898,2011-09-05 23:10:00,-0.5313
47037,2011-09-06 10:45:00,-0.2703
47200,2011-09-07 00:20:00,-0.5327
47337,2011-09-07 11:45:00,-0.226
47502,2011-09-08 01:30:00,-0.5442
47638,2011-09-08 12:50:00,-0.2003
47803,2011-09-09 02:35:00,-0.5608
47939,2011-09-09 13:55:00,-0.1982
48102,2011-09-10 03:30:00,-0.5724
48240,2011-09-10 15:00:00,-0.2174
48401,2011-09-11 04:25:00,-0.5692
48539,2011-09-11 15:55:00,-0.2502
48698,2011-09-12 05:10:00,-0.545
48838,2011-09-12 16:50:00,-0.2881
48995,2011-09-13 05:55:00,-0.4992
49135,2011-09-13 17:35:00,-0.324
49291,2011-09-14 06:35:00,-0.4349
49432,2011-09-14 18:20:00,-0.3531
49586,2011-09-15 07:10:00,-0.3595
49729,2011-09-15 19:05:00,-0.373
49879,2011-09-16 07:35:00,-0.2825
50026,2011-09-16 19:50:00,-0.3829
50172,2011-09-17 08:00:00,-0.2156
50323,2011-09-17 20:35:00,-0.3839
50461,2011-09-18 08:05:00,-0.1709
50621,2011-09-18 21:25:00,-0.3785
50745,2011-09-19 07:45:00,-0.1608
50919,2011-09-19 22:15:00,-0.371
51034,2011-09-20 07:50:00,-0.1767
51219,2011-09-20 23:15:00,-0.3671
51328,2011-09-21 08:20:00,-0.1919
51520,2011-09-22 00:20:00,-0.3721
51626,2011-09-22 09:10:00,-0.1953
51819,2011-09-23 01:15:00,-0.3872
51927,2011-09-23 10:15:00,-0.19
52118,2011-09-24 02:10:00,-0.4095
52238,2011-09-24 12:10:00,-0.1984
52416,2011-09-25 03:00:00,-0.4335
52547,2011-09-25 13:55:00,-0.2494
52713,2011-09-26 03:45:00,-0.4542
52850,2011-09-26 15:10:00,-0.3269
53009,2011-09-27 04:25:00,-0.4672
53150,2011-09-27 16:10:00,-0.4119
53306,2011-09-28 05:10:00,-0.4699
53450,2011-09-28 17:10:00,-0.4912
53602,2011-09-29 05:50:00,-0.4601
53749,2011-09-29 18:05:00,-0.5556
53898,2011-09-30 06:30:00,-0.4373
54048,2011-09-30 19:00:00,-0.5994
54194,2011-10-01 07:10:00,-0.4021
54347,2011-10-01 19:55:00,-0.621
54490,2011-10-02 07:50:00,-0.3564
54647,2011-10-02 20:55:00,-0.6228
54787,2011-10-03 08:35:00,-0.3037
54947,2011-10-03 21:55:00,-0.611
55084,2011-10-04 09:20:00,-0.249
55248,2011-10-04 23:00:00,-0.5934
55384,2011-10-05 10:20:00,-0.1991
55549,2011-10-06 00:05:00,-0.5769
55685,2011-10-06 11:25:00,-0.164
55850,2011-10-07 01:10:00,-0.5631
55987,2011-10-07 12:35:00,-0.1541
56150,2011-10-08 02:10:00,-0.5485
56289,2011-10-08 13:45:00,-0.1726
56449,2011-10-09 03:05:00,-0.526
56589,2011-10-09 14:45:00,-0.2131
56746,2011-10-10 03:50:00,-0.4903
56889,2011-10-10 15:45:00,-0.2652
57043,2011-10-11 04:35:00,-0.4396
57187,2011-10-11 16:35:00,-0.3193
57339,2011-10-12 05:15:00,-0.3764
57485,2011-10-12 17:25:00,-0.368
57634,2011-10-13 05:50:00,-0.3069
57782,2011-10-13 18:10:00,-0.407
57927,2011-10-14 06:15:00,-0.2402
58078,2011-10-14 18:50:00,-0.4343
58219,2011-10-15 06:35:00,-0.187
58375,2011-10-15 19:35:00,-0.4498
58507,2011-10-16 06:35:00,-0.1587
58672,2011-10-16 20:20:00,-0.4547
58793,2011-10-17 06:25:00,-0.1634
58969,2011-10-17 21:05:00,-0.4515
59083,2011-10-18 06:35:00,-0.1856
59267,2011-10-18 21:55:00,-0.4438
59378,2011-10-19 07:10:00,-0.2027
59566,2011-10-19 22:50:00,-0.4355
59675,2011-10-20 07:55:00,-0.2055
59864,2011-10-20 23:40:00,-0.4303
59976,2011-10-21 09:00:00,-0.1962
60163,2011-10-22 00:35:00,-0.43
