,inicio,final,picomin,momentom,duracion
1,2011-04-03 03:40:00,2011-04-03 11:45:00,-0.4624660500989123,2011-04-03 07:25:00,29100.0
11,2011-04-22 03:00:00,2011-04-22 18:15:00,-0.7170660500989123,2011-04-22 10:35:00,54900.0
23,2011-05-16 08:10:00,2011-05-16 14:15:00,-0.44106605009891237,2011-05-16 11:15:00,21900.0
31,2011-05-18 09:30:00,2011-05-18 16:20:00,-0.4824660500989123,2011-05-18 11:00:00,24600.0
34,2011-05-18 22:50:00,2011-05-19 05:25:00,-0.4655660500989123,2011-05-19 01:30:00,23700.0
38,2011-05-23 17:15:00,2011-05-24 01:10:00,-0.4545660500989124,2011-05-23 19:00:00,28500.0
40,2011-05-27 02:15:00,2011-05-28 20:35:00,-0.9753660500989123,2011-05-28 04:25:00,152400.0
50,2011-06-04 23:45:00,2011-06-05 06:40:00,-0.4483660500989123,2011-06-05 02:30:00,24900.0
53,2011-06-08 02:25:00,2011-06-08 13:20:00,-0.5099660500989124,2011-06-08 04:15:00,39300.0
56,2011-06-10 16:00:00,2011-06-11 02:15:00,-0.4896660500989123,2011-06-10 20:30:00,36900.0
61,2011-06-14 07:35:00,2011-06-14 19:00:00,-0.45456605009891227,2011-06-14 11:15:00,41100.0
66,2011-06-18 14:55:00,2011-06-19 06:40:00,-0.6562660500989124,2011-06-19 04:15:00,56700.0
67,2011-06-19 08:30:00,2011-06-19 15:20:00,-0.5689660500989123,2011-06-19 10:05:00,24600.0
72,2011-06-29 06:25:00,2011-06-29 17:35:00,-0.5406660500989123,2011-06-29 13:25:00,40200.0
79,2011-07-11 18:40:00,2011-07-12 11:00:00,-0.4510660500989123,2011-07-12 06:50:00,58800.0
84,2011-07-14 07:20:00,2011-07-14 21:50:00,-0.45586605009891235,2011-07-14 18:15:00,52200.0
90,2011-07-21 01:05:00,2011-07-21 08:20:00,-0.4127660500989123,2011-07-21 04:15:00,26100.0
101,2011-07-24 21:30:00,2011-07-25 12:55:00,-0.4857660500989123,2011-07-25 05:05:00,55500.0
105,2011-07-27 15:45:00,2011-07-28 08:05:00,-0.5575660500989124,2011-07-28 02:05:00,58800.0
113,2011-08-01 06:40:00,2011-08-01 13:45:00,-0.47636605009891236,2011-08-01 11:35:00,25500.0
117,2011-08-04 18:05:00,2011-08-05 18:35:00,-0.6607660500989123,2011-08-05 11:40:00,88200.0
118,2011-08-08 01:30:00,2011-08-08 08:40:00,-0.4129660500989123,2011-08-08 04:35:00,25800.0
120,2011-08-08 10:00:00,2011-08-11 01:25:00,-1.2139660500989122,2011-08-10 06:10:00,228300.0
131,2011-08-22 14:35:00,2011-08-24 02:40:00,-0.8035660500989122,2011-08-23 11:30:00,129900.0
135,2011-08-24 09:15:00,2011-08-24 16:05:00,-0.5188660500989123,2011-08-24 11:50:00,24600.0
139,2011-08-26 12:30:00,2011-08-28 05:55:00,-0.7401660500989123,2011-08-27 04:35:00,149100.0
143,2011-09-01 07:45:00,2011-09-03 05:25:00,-1.3167660500989125,2011-09-02 13:30:00,164400.0
153,2011-09-14 19:05:00,2011-09-16 17:40:00,-0.7205660500989124,2011-09-15 12:40:00,167700.0
161,2011-09-23 10:40:00,2011-09-25 14:05:00,-0.9455660500989124,2011-09-24 19:55:00,185100.0
163,2011-09-27 21:05:00,2011-09-28 20:40:00,-0.8707660500989123,2011-09-28 11:05:00,84900.0
166,2011-10-04 01:40:00,2011-10-04 18:15:00,-0.5610660500989123,2011-10-04 11:45:00,59700.0
168,2011-10-04 22:10:00,2011-10-05 05:55:00,-0.4918660500989124,2011-10-05 01:30:00,27900.0
172,2011-10-07 01:20:00,2011-10-08 00:35:00,-0.7277660500989123,2011-10-07 15:55:00,83700.0
173,2011-10-08 01:00:00,2011-10-08 18:50:00,-0.5386660500989123,2011-10-08 16:10:00,64200.0
175,2011-10-09 11:50:00,2011-10-10 22:55:00,-0.6747660500989123,2011-10-10 18:40:00,126300.0
184,2011-10-19 14:00:00,2011-10-20 11:20:00,-0.5683660500989123,2011-10-20 03:10:00,76800.0
186,2011-10-31 21:20:00,2011-11-01 12:55:00,-0.5251660500989124,2011-11-01 01:45:00,56100.0
187,2011-11-01 22:10:00,2011-11-02 15:45:00,-0.5955660500989123,2011-11-02 11:10:00,63300.0
205,2011-11-18 14:35:00,2011-11-19 04:10:00,-0.5206660500989124,2011-11-18 22:30:00,48900.0
210,2011-11-23 05:50:00,2011-11-23 15:20:00,-0.4792660500989123,2011-11-23 12:50:00,34200.0
217,2011-12-02 06:50:00,2011-12-02 14:15:00,-0.38346605009891227,2011-12-02 12:45:00,26700.0
219,2011-12-03 01:10:00,2011-12-03 16:50:00,-0.5218660500989123,2011-12-03 13:30:00,56400.0
224,2011-12-07 09:55:00,2011-12-07 19:55:00,-0.5843660500989123,2011-12-07 16:50:00,36000.0
228,2011-12-09 15:45:00,2011-12-09 23:40:00,-0.4378660500989124,2011-12-09 21:50:00,28500.0
230,2011-12-10 01:00:00,2011-12-10 09:00:00,-0.47996605009891224,2011-12-10 07:00:00,28800.0
241,2012-01-07 12:15:00,2012-01-08 11:10:00,-0.7724660500989122,2012-01-08 05:55:00,82500.0
248,2012-01-17 15:30:00,2012-01-17 21:55:00,-0.4082660500989123,2012-01-17 16:30:00,23100.0
258,2012-01-27 00:10:00,2012-01-27 14:40:00,-0.5245660500989123,2012-01-27 10:00:00,52200.0
260,2012-01-28 04:30:00,2012-01-28 11:35:00,-0.48416605009891234,2012-01-28 09:50:00,25500.0
267,2012-02-03 22:45:00,2012-02-04 08:25:00,-0.4186660500989124,2012-02-04 00:40:00,34800.0
271,2012-02-10 11:30:00,2012-02-10 18:05:00,-0.4583660500989123,2012-02-10 14:15:00,23700.0
279,2012-03-09 17:45:00,2012-03-10 01:55:00,-0.5493660500989123,2012-03-10 00:30:00,29400.0
299,2012-04-03 10:00:00,2012-04-03 21:40:00,-0.5245660500989124,2012-04-03 17:10:00,42000.0
307,2012-04-30 03:20:00,2012-05-01 18:50:00,-0.9747660500989124,2012-05-01 06:45:00,142200.0
312,2012-05-02 05:00:00,2012-05-02 19:30:00,-0.6094660500989124,2012-05-02 11:00:00,52200.0
319,2012-05-06 08:45:00,2012-05-07 14:10:00,-0.7938660500989123,2012-05-07 00:10:00,105900.0
